Student_ID,Time_Point,Health_Assessment,Nursing_Process,Nursing_Interventions,Assesment_Data_Knowledge,Confidence_of_Health_Assesment,Acute_Care_Nursing_Interventions_Confidence,Severe_Care_Nursing_Intervention_Confidence,Assesment_Data_Knowledge_Confidence,Year_Of_College,Previous_Simulation_Expiriences,Age,Gender,Race_Ethnicity,Actual_Simulation_Expiriences
1,Pre-test,SA,SA,A,U,U,A,U,A,J3,Not_Similiar,20,Male,Asian_American,Reality_Gaming_Exp
1,Post-test,SA,SA,A,A,A,A,A,A,,,,,,
2,Pre-test,U,A,A,U,U,A,A,A,J3,Not_Similiar,20,Female,White,Gaming_and_Goggles
2,Post-test,U,U,A,A,U,U,U,U,J3,Not_Similiar,20,Female,White,First
3,Pre-test,U,U,A,A,A,U,U,U,J3,Not_Similiar,20,Female,White,First
3,Post-test,A,U,A,A,A,U,U,U,,,,,,
4,Pre-test,U,A,A,A,U,A,A,A,J3,Not_Similiar,20,Female,Asian_American,First
4,Post-test,A,A,A,A,U,A,A,A,,,,,,
5,Pre-test,U,U,A,U,U,A,U,A,J3,Not_Similiar,21,Female,White,Gaming_and_Goggles
5,Post-test,A,A,A,A,A,A,A,A,,,,,,
6,Pre-test,U,U,U,A,U,U,A,A,J3,Past_Year,20,Female,White,First
6,Post-test,U,A,A,A,U,U,U,A,,,,,,
7,Pre-test,U,A,U,U,U,U,A,U,J3,Past_Year,20,Male,White,Reality_Goggles
7,Post-test,A,A,A,A,A,U,A,A,,,,,,
8,Pre-test,U,A,A,U,D,A,A,U,J3,Past_Year,20,Female,White,Reality_Gaming
8,Post-test,A,A,SA,A,A,U,A,A,,,,,,
8,Pre-test,A,A,SA,A,A,A,SA,A,,,,,,
9,Pre-test,U,SA,A,U,D,SA,SA,U,J3,Past_Year,20,Female,White,Gaming_and_Goggles
9,Post-test,A,SA,SA,A,SA,SA,SA,SA,,,,,,
9,Two_Month,SA,SA,SA,A,SA,SA,SA,SA,,,,,,
10,Pre-test,A,A,U,A,A,U,U,A,J3,First,25,Male,Asian_American,First
10,Post-test,A,A,A,SA,A,A,A,U,,,,,,
11,Pre-test,A,A,U,A,U,A,U,A,J3,Past_Year,20,Male,Asian_American,Reality_Goggles
11,Post-test,A,A,A,A,U,A,A,A,,,,,,
12,Pre-test,A,A,A,A,A,A,A,A,J3,Past_Year,20,Female,White,Gaming_and_Goggles
12,Post-test,SA,SA,SA,SA,SA,SA,SA,SA,,,,,,
12,Two_Month,A,SA,A,SA,A,A,SA,A,,,,,,
13,Pre-test,U,U,A,A,D,D,U,U,J3,First,20,Female,White,First
13,Post-test,A,A,A,A,A,A,U,A,,,,,,
13,Two_Month,A,SA,A,A,U,A,A,U,,,,,,
14,Pre-test,A,A,U,U,U,A,A,U,J3,First,21,Female,White,First
14,Post-test,SA,A,A,SA,A,A,A,A,,,,,,
15,Pre-test,A,A,A,U,U,A,A,U,J3,First,20,Female,White,Gaming_and_Goggles
15,Post-test,SA,A,A,SA,A,A,A,A,,,,,,
16,Pre-test,U,U,U,SA,U,A,A,A,J3,Previous_Simulation_Expiriences,20,Female,White,Reality_Goggles
16,Post-test,SA,SA,SA,SA,A,A,A,SA,,,,,,
17,Pre-test,A,A,A,U,U,A,U,A,J3,First,20,Female,White,First
17,Post-test,SA,A,A,A,A,SA,A,SA,,,,,,
18,Pre-test,D,U,A,U,D,U,A,A,J3,First,20,Female,Asian_American,First
18,Post-test,A,A,A,SA,A,A,SA,A,,,,,,
18,Two_Month,A,SA,A,A,A,U,A,SA,,,,,,
19,Pre-test,U,A,A,D,U,D,D,D,J3,Not_Similiar,20,Female,White,Reality_Goggles
19,Post-test,A,A,A,SA,A,A,A,A,,,,,,
20,Pre-test,D,A,U,A,D,D,A,A,J3,First,21,Male,Asian_American,First
20,Post-test,A,A,A,A,A,A,A,A,,,,,,
21,Pre-test,D,A,A,U,U,U,U,U,J3,First,21,Female,White,First
21,Post-test,U,A,A,A,U,U,A,A,,,,,,
22,Pre-test,D,A,U,D,D,D,U,U,J3,First,21,Female,White,Reality_Gaming
22,Post-test,A,A,A,A,A,A,A,A,,,,,,
23,Pre-test,D,A,A,U,D,D,U,U,J3,First,20,Female,White,First
23,Post-test,U,A,A,A,U,A,U,U,,,,,,
23,Two_Month,SA,A,A,A,A,A,A,A,,,,,,
24,Pre-test,D,U,A,A,U,A,A,U,J3,First,20,Female,White,First
24,Post-test,D,A,U,U,U,U,A,U,J3,First,20,Female,White,
25,Pre-test,U,A,A,U,U,A,U,U,J3,First,20,Female,White,Reality_Goggles
25,Post-test,A,A,A,SA,A,U,U,A,J3,First,20,Female,White,Reality_Goggles
26,Pre-test,A,U,A,A,U,U,D,A,J3,First,19,Female,White,Gaming_and_Goggles
26,Post-test,A,A,A,SA,A,A,SA,A,J3,First,19,Female,White,Gaming_and_Goggles
27,Pre-test,A,A,A,A,U,U,U,A,J3,First,21,Female,Asian_American,Gaming_and_Goggles
27,Post-test,A,A,A,A,U,A,A,A,J3,First,21,Female,Asian_American,Gaming_and_Goggles
29,Pre-test,U,SA,A,U,U,A,A,A,J3,First,20,Female,White,First
29,Post-test,A,A,SA,SA,SA,SA,SA,SA,J3,First,20,Female,White,First
30,Pre-test,U,A,A,A,U,A,A,A,J4,First,21,Female,Black,First
30,Post-test,SA,SA,A,SA,SA,A,SA,SA,J4,First,21,Female,Black,First
31,Pre-test,U,A,A,U,U,A,A,U,J3,First,20,Female,White,Gaming_and_Goggles
31,Post-test,A,A,A,SA,A,A,A,A,J3,First,20,Female,White,Gaming_and_Goggles
31,Two_Month,A,A,SA,SA,A,U,A,A,J3,First,20,Female,White,Gaming_and_Goggles
32,Pre-test,A,A,U,A,U,A,A,A,J3,First,21,Female,White,First
32,Post-test,A,A,A,A,U,A,A,A,J3,First,21,Female,White,First
33,Pre-test,U,U,A,U,A,U,A,A,J3,First,20,Female,White,First
33,Post-test,A,A,A,A,A,A,A,A,J3,First,20,Female,White,First
34,Pre-test,U,A,A,A,U,U,A,U,J3,First,21,Female,White,Gaming_and_Goggles
34,Post-test,A,A,A,A,A,A,A,A,J3,First,21,Female,White,Gaming_and_Goggles
35,Pre-test,U,A,A,U,U,U,A,A,J3,First,20,Female,White,Gaming_and_Goggles
35,Post-test,A,A,A,A,A,A,A,A,J3,First,20,Female,White,Gaming_and_Goggles
35,Two_Month,A,A,A,A,A,A,A,A,J3,First,20,Female,White,Gaming_and_Goggles
36,Pre-test,D,D,A,A,U,U,D,U,J3,First,18,Female,White,First
36,Post-test,A,A,A,SA,A,A,A,A,J3,First,18,Female,White,First
36,Two_Month,SA,SA,SA,SA,A,A,A,SA,J3,First,18,Female,White,First
37,Pre-test,A,A,A,A,U,U,A,U,J4,First,22,Female,Asian_American,First
37,Post-test,A,A,A,U,U,A,A,U,J4,First,22,Female,Asian_American,First
38,Pre-test,A,D,D,U,A,U,A,D,J3,Past_Year,21,Female,White,Reality_Goggles
38,Post-test,A,A,U,U,U,U,D,A,J3,Past_Year,21,Female,White,Reality_Goggles
39,Pre-test,A,A,U,D,U,A,A,A,J3,Previous_Simulation_Expiriences,20,Female,White,Reality_Goggles
39,Post-test,A,A,A,A,A,A,A,A,J3,Previous_Simulation_Expiriences,20,Female,White,Reality_Goggles
39,Two_Month,SA,SA,SA,SA,SA,SA,SA,SA,J3,Previous_Simulation_Expiriences,20,Female,White,Reality_Goggles
40,Pre-test,A,A,A,A,U,A,A,SA,J3,First,19,Female,White,Reality_Goggles
40,Post-test,A,A,SA,A,A,A,SA,SA,J3,First,19,Female,White,Reality_Goggles
40,Two_Month,SA,A,SA,A,A,A,A,SA,J3,First,19,Female,White,Reality_Goggles
41,Pre-test,A,A,A,A,U,U,U,A,J3,First,21,Female,Asian_American,First
41,Post-test,A,SA,SA,SA,U,U,U,U,J3,First,21,Female,Asian_American,First
42,Pre-test,U,A,A,A,U,A,A,A,J3,First,21,Female,Asian_American,First
42,Post-test,A,A,A,A,A,A,A,A,J3,First,21,Female,Asian_American,First
43,Pre-test,U,A,A,A,U,A,A,A,J3,First,20,Female,White,First
43,Post-test,A,A,A,A,A,A,A,A,J3,First,20,Female,White,First
44,Pre-test,A,A,SA,A,U,U,A,U,J3,First,20,Female,White,Gaming_and_Goggles
44,Post-test,A,A,SA,A,A,A,A,A,J3,First,20,Female,White,Gaming_and_Goggles
45,Pre-test,U,A,A,U,U,A,A,U,J3,First,20,Female,White,Gaming_and_Goggles
45,Post-test,A,A,A,A,A,A,A,A,J3,First,20,Female,White,Gaming_and_Goggles
46,Pre-test,A,D,D,D,D,D,D,D,J3,First,20,Female,White,Gaming_and_Goggles
46,Post-test,D,U,A,A,D,U,D,U,J3,First,20,Female,White,Gaming_and_Goggles
